repo_name,date,stars,forks,stars_gained,forks_gained
.github,2025-03-28T00:36:55.093Z,2,1,0,0
.github,2025-03-29T00:36:38.431Z,2,1,0,0
.github,2025-03-30T00:40:34.951Z,2,1,0,0
.github,2025-03-31T00:39:53.885Z,2,1,0,0
.github,2025-04-01T00:42:53.354Z,2,1,0,0
.github,2025-04-02T00:37:45.894Z,2,1,0,0
.github,2025-04-03T00:37:01.063Z,2,1,0,0
.github,2025-04-04T00:37:00.313Z,2,1,0,0
.github,2025-04-05T00:36:24.748Z,2,1,0,0
.github,2025-04-06T00:40:24.982Z,2,1,0,0
.github,2025-04-07T00:38:58.128Z,2,1,0,0
.github,2025-04-08T00:37:04.674Z,2,1,0,0
.github,2025-04-09T00:37:26.256Z,2,1,0,0
.github,2025-04-10T00:37:18.624Z,2,1,0,0
.github,2025-04-11T00:37:53.676Z,2,1,0,0
.github,2025-04-12T00:36:56.493Z,2,1,0,0
.github,2025-04-13T02:04:33.598Z,2,1,0,0
.github,2025-04-14T00:40:40.544Z,2,1,0,0
.github,2025-04-15T00:38:46.196Z,2,1,0,0
.github,2025-04-16T00:38:41.478Z,2,1,0,0
.github,2025-04-17T00:37:55.339Z,2,1,0,0
.github,2025-04-18T00:37:34.074Z,2,1,0,0
.github,2025-04-19T00:36:09.880Z,2,1,0,0
.github,2025-04-20T00:41:40.021Z,2,1,0,0
.github,2025-04-21T00:40:41.547Z,2,1,0,0
.github,2025-04-22T00:38:17.045Z,2,1,0,0
.github,2025-04-23T00:38:15.641Z,2,1,0,0
.github,2025-04-24T00:38:13.816Z,2,1,0,0
.github,2025-04-25T00:38:30.451Z,2,1,0,0
.github,2025-04-26T00:37:16.882Z,2,1,0,0
.github,2025-04-27T00:41:37.219Z,2,1,0,0
.github,2025-04-28T00:40:23.336Z,2,1,0,0
.github,2025-04-29T00:38:44.663Z,2,1,0,0
.github,2025-04-30T00:38:42.345Z,2,1,0,0
.github,2025-05-01T00:43:43.356Z,2,1,0,0
.github,2025-05-02T00:38:58.364Z,2,1,0,0
.github,2025-05-03T00:37:59.868Z,2,1,0,0
.github,2025-05-04T00:43:22.596Z,2,1,0,0
.github,2025-05-05T00:41:46.761Z,2,1,0,0
.github,2025-05-06T00:39:30.792Z,2,1,0,0
.github,2025-05-07T00:39:16.294Z,2,1,0,0
.github,2025-05-08T00:39:56.554Z,2,1,0,0
.github,2025-05-09T00:39:24.519Z,2,1,0,0
.github,2025-05-10T00:37:25.078Z,2,1,0,0
.github,2025-05-11T00:42:24.530Z,2,1,0,0
.github,2025-05-12T00:42:00.863Z,2,1,0,0
.github,2025-05-13T00:39:45.127Z,2,1,0,0
.github,2025-05-14T00:39:28.426Z,2,1,0,0
.github,2025-05-15T00:38:39.663Z,2,1,0,0
.github,2025-05-16T00:40:05.036Z,2,1,0,0
.github,2025-05-17T00:38:48.447Z,2,1,0,0
.github,2025-05-18T00:43:08.842Z,2,1,0,0
.github,2025-05-19T00:42:53.856Z,2,1,0,0
.github,2025-05-20T00:40:53.567Z,2,1,0,0
.github,2025-05-21T00:40:12.703Z,2,1,0,0
.github,2025-05-22T00:39:31.880Z,2,1,0,0
.github,2025-05-23T00:39:56.560Z,2,1,0,0
.github,2025-05-24T00:38:21.963Z,2,1,0,0
.github,2025-05-25T00:44:20.201Z,2,1,0,0
.github,2025-05-26T00:41:25.251Z,2,1,0,0
.github,2025-05-27T00:39:18.680Z,2,1,0,0
.github,2025-05-28T00:40:01.455Z,2,1,0,0
.github,2025-05-29T00:40:00.454Z,2,1,0,0
.github,2025-05-30T00:39:54.765Z,2,1,0,0
.github,2025-05-31T00:38:41.520Z,2,1,0,0
.github,2025-06-01T00:51:23.833Z,2,1,0,0
.github,2025-06-02T00:42:47.653Z,2,1,0,0
.github,2025-06-03T00:41:18.927Z,2,1,0,0
.github,2025-06-04T00:41:03.419Z,2,1,0,0
.github,2025-06-05T00:40:26.412Z,2,1,0,0
